empresa,ciudad,comunidad,precio_metros_60,precio_metros_120,tipo,material
vme,sueca,valencia,0,112251,minimalista,hormigon
in haus,almussafes,valencia,0,,minimalista,hormigon
grupo tene,paterna,valencia,8000,0,rustico,madera
euro casetas,paterna,valencia,58500,980000,minimalista,madera
monte balsamo,la pobla de vallbona,valencia,0,0,rustico,madera
casas carbonell,betera,valencia,79000,110600,rustico,hormigon
cmc,naquera,valencia,0,194200,minmalista,hormigon
casas cubera sl,alcorcon,madrid,0,0,minimalista,hormigon
bi homes,pozuelo de alarcon,madrid,0,0,minimalista,hormigon
maderai,madrid,madrid,13500,0,rustico,madera
tocar madera,alcorcon,madrid,0,0,rustico,madera
casas prefabricadas steel home,las ventas de retamosa,toledo,0,0,minimalista,hormigon
atlantida homes,retiro,madrid,0,226200,minimalista,hormigon
casa redia,mostoles,madrid,0,0,minimalista,hormigon
rubik home,carabanchel,madrid,0,0,minimalista,hormigon
the concrete home,torredolones,madrid,0,0,minimalista,hormigon
