Comunidad Autonoma,Primer trimestre,Segundo trimestre,Variacion trimestral,Variacion interanual
total nacional,"167,4","166,6","-0,5","7,9"
Andalucia,"188,1","164,8","-12,4","-3,3"
Almeria,"149,4","157,4","5,3","-16,3"
Cadiz,"193,8",217,12,"6,9"
Cordoba,111,145,"30,7","6,2"
Granada,"156,8","130,3","-16,9","-5,6"
Huelva,"96,6","117,1","21,2",4
Jaen,"139,9","110,9","-20,8","-9,5"
Malaga,"334,2","260,9","-21,9","5,3"
Sevilla,"163,7","129,8","-20,7","-5,5"
Aragon,"108,3","134,2","23,9","33,3"
Huesca,"109,7","128,5","17,1","21,5"
Teruel,"81,5","95,3","16,9","126,7"
Zaragoza,"109,8","141,5",29,"35,1"
Asturias,"148,1","135,1","-8,8","80,7"
Baleares,"360,1","340,5","-5,4","8,5"
Canarias,227,"243,6","7,3","13,2"
Las Palmas,"238,8","254,8","6,7","-5,6"
Santa Cruz de Tenerife,218,"229,1","5,1","31,4"
Cantabria,"105,5","122,5","16,1","56,4"
Castilla y Leon,"84,9","81,6","-3,9","22,1"
Avila,"77,9","76,6","-1,7","0,6"
Burgos,"43,3","103,9","140,2","113,2"
Leon,"51,7","48,1","-6,9","-37,7"
Palencia,"59,5","49,6","-16,6","32,2"
Salamanca,"108,7","82,1","-24,5","3,3"
Segovia,103,"96,6","-6,2","12,3"
Soria,"132,8","100,6","-24,3",117
Valladolid,"143,9","115,9","-19,4","28,4"
Zamora,"77,9","107,4","37,8","75,9"
Castilla La Mancha,"105,3","100,4","-4,7","12,4"
Albacete,"94,1","128,9",37,19
Ciudad Real,"131,3","120,8",-8,-19
Cuenca,"102,5","90,4","-11,8","23,2"
Guadalajara,"67,9","74,2","9,2","-14,2"
Toledo,"113,6","104,3","-8,2","30,9"
Cataluña,"162,1","174,7","7,8","9,5"
Barcelona,"183,5","198,8","8,3","17,2"
Girona,"170,1","178,3","4,9","-3,9"
Lleida,"103,5","119,3","15,3","3,2"
Tarragona,"130,3","113,2","-13,1","15,4"
Comunitat Valenciana,"197,4","202,3","2,5","15,6"
Alicante,"220,1","230,2","4,6","25,9"
Castellon,114,"133,5",17,"-6,2"
Valencia,"213,1","210,3","-1,3","18,5"
Extremadura,"102,7","109,3","6,4","-17,1"
Badajoz,117,"102,4","-12,5","-19,8"
Caceres,"78,7","121,4","54,3",-14
Galicia,"87,5","112,2","28,2","1,2"
A Coruña,"97,5","116,4","19,5","6,8"
Lugo,"45,7","92,3",102,"14,8"
Ourense,"39,7",n.s.,.,.
Pontevedra,"89,4","123,2","37,9","-8,6"
Comunidad de Madrid,"313,4","269,3","-14,1","2,2"
Region de Murcia,"152,7","144,2","-5,5","7,4"
Comunidad Foral de Navarra,"190,5",136,"-28,6","-21,3"
Pais Vasco,"264,1","192,6","-27,1","-21,2"
Alava,"205,1","158,6","-22,7",-14
Guipuzcoa,"248,2","143,3","-42,2","-48,8"
Vizcaya,"302,2","221,2","-26,8","-18,8"
La Rioja,191,"180,5","-5,5","29,4"
Ceuta y Melilla,n.s.,n.s.,.,.
