Comunidad Autonoma,Primer trimestre,Segundo trimestre,Variacion trimestral,Variacion interanual
TOTAL NACIONAL,"141,1","122,6","-13,1","5,4"
Andalucia,"123,8",90,"-27,3","-23,6"
Almeria,"82,3","168,6","104,9","22,8"
Cadiz,"88,2","137,5","55,8","17,7"
Cordoba,"115,4","111,2","-3,6","24,6"
Granada,"109,1","125,1","14,7","0,5"
Huelva,"133,1","151,5","13,8","60,2"
Jaen,"111,9","87,6","-21,6","2,8"
Malaga,227,"132,3","-41,7","-13,3"
Sevilla,"142,5","52,5","-63,2","-53,3"
Aragon,"99,3","102,1","2,9","-21,4"
Huesca,n.s,.,.,.
Teruel,.,n.s.,.,.
Zaragoza,n.s,"78,4",.,"-36,5"
Asturias,"55,4",100,"80,7","277,8"
Baleares,"316,3","240,1","-24,1","-11,3"
Canarias,160,"205,5","28,4","11,7"
Las Palmas,102,"241,6","136,8","132,5"
Santa Cruz de Tenerife,"190,1","194,6","2,4",-5
Cantabria,n.s,"31,2",.,.
Castilla y Leon,"112,1","108,3","-3,4","53,2"
Avila,"80,4","81,1","0,8",14
Burgos,"101,3",n.s.,.,.
Leon,n.s,n.s.,.,.
Palencia,n.s,"50,9",.,"17,4"
Salamanca,"178,6","135,5","-24,1","86,4"
Segovia,"105,7","122,8","16,1","15,2"
Soria,n.s,n.s.,.,.
Valladolid,n.s,"96,6",.,"-22,4"
Zamora,.,n.s.,.,.
Castilla La Mancha,"102,5","91,2",-11,"45,7"
Albacete,n.s,n.s.,.,.
Ciudad Real,"109,1","63,7","-41,6","-35,7"
Cuenca,157,129,"-17,8","71,1"
Guadalajara,"105,5",104,"-1,5","0,4"
Toledo,97,91,"-6,2","60,5"
Cataluña,"145,2","144,1","-0,8","9,9"
Barcelona,"177,8","156,2","-12,2",.
Girona,"102,1","121,4",19,"-1,8"
Lleida,"148,1","123,1","-16,9","-8,4"
Tarragona,"118,7","134,6","13,4","229,8"
Comunitat Valenciana,"157,6","158,7","0,7","13,2"
Alicante,"143,1","138,7",-3,"10,8"
Castellon,"80,8","80,6","-0,3","-8,3"
Valencia,"241,7","215,9","-10,7","4,6"
Extremadura,"84,9",111,"30,8",66
Badajoz,"93,6","101,6","8,6","51,8"
Caceres,"40,3","128,4","218,7","84,7"
Galicia,"42,5","65,3","53,8","-3,7"
A Coruña,"44,6","69,6","56,2","-19,5"
Lugo,n.s,.,.,.
Ourense,n.s,n.s.,.,.
Pontevedra,n.s,n.s.,.,.
Comunidad de Madrid,"185,6","150,7","-18,8","18,8"
Region de Murcia,"82,8","114,7","38,6",20
Comunidad Foral de Navarra,"194,2","72,8","-62,5",.
Pais Vasco,n.s,125,.,"-54,2"
Alava,.,.,.,.
Guipuzcoa,.,n.s.,.,.
Vizcaya,n.s,n.s.,.,.
La Rioja,285,"208,9","-26,7",.
Ceuta y Melilla,.,.,.,.
