OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,T16_1,T17_1,T17_2,T17_3,T18_1,T18_2,T18_3,T18_4,T18_5,T18_6,T19_1,T19_2,T19_3,T19_4,T19_5,T19_6,T19_7,T19_8,T19_9,T19_10,T20_1,T20_2,T20_3,T20_4,T20_5,T20_6,T20_7,T20_8,T20_9,T22_1,T22_2,T22_3,T22_4,T22_5,T22_6,Shape__Area,Shape__Length
1,01001,Alegría-Dulantzi,01,16,1250,1085,75,95,230,680,45,105,15,10,0,5,45,250,240,140,80,120,35,35,0,15,90,195,485,190,20,0,5,200,340,240,280,20,5,37092694.3803711,48191.5687507891
2,01002,Amurrio,01,16,4435,3860,130,440,1685,1120,335,325,115,290,0,40,215,710,1760,515,185,60,45,50,0,35,230,405,2350,485,60,20,60,720,1270,985,690,135,60,179911448.023315,90623.6217726267
3,01003,Aramaio,01,16,680,575,45,55,235,180,80,25,10,45,0,0,40,100,130,70,35,80,30,90,0,5,30,125,170,130,60,35,20,125,190,90,135,25,10,137706565.232788,58592.9152521766
4,01004,Artziniega,01,16,1120,755,90,275,270,345,45,40,35,20,0,10,50,90,310,110,65,45,40,35,5,0,60,135,350,120,40,20,25,220,225,145,120,45,0,51300778.0618896,31498.5235735303
5,01006,Armiñón,01,16,155,90,40,20,10,65,10,0,0,5,0,0,0,5,5,15,10,20,15,20,0,0,5,5,40,15,10,5,10,20,25,30,15,0,0,23802884.9614258,33293.8051314875
6,01008,Arratzua-Ubarrundia,01,16,485,360,60,65,145,135,50,15,5,5,0,5,15,20,25,50,35,70,60,80,0,0,10,45,85,120,40,35,25,85,80,95,75,20,5,107422965.777832,89972.9346568566
7,01009,Asparrena,01,16,980,675,215,90,265,275,80,20,5,35,0,0,45,150,205,85,75,35,40,40,0,40,45,150,290,80,35,15,25,165,195,170,120,30,0,118008144.299561,70669.9683627182
8,01010,Ayala/Aiara,01,16,1310,1070,55,185,325,410,175,120,0,50,5,0,20,125,275,155,100,85,105,205,0,10,60,100,470,220,95,45,70,215,270,290,245,30,15,264340322.000244,88663.1906048576
9,01011,Baños de Ebro/Mañueta,01,16,240,120,50,70,45,25,30,0,5,15,0,0,0,5,15,35,25,20,5,10,0,0,10,15,30,45,10,10,0,25,30,35,15,10,0,17206801.4051514,24650.5913499016
10,01013,Barrundia,01,16,510,355,150,10,95,175,60,5,0,20,0,0,5,5,25,20,30,65,75,130,0,5,0,55,85,100,50,40,20,85,115,60,75,15,5,182865233.657959,80734.486695226
11,01014,Berantevilla,01,16,300,210,65,25,45,95,50,5,5,10,0,0,5,10,35,40,45,25,15,35,0,0,20,10,75,50,15,5,30,60,70,50,20,10,0,66683914.6107178,52853.5387181633
12,01016,Bernedo,01,16,570,280,220,70,95,110,35,10,5,25,0,5,5,20,55,55,30,55,25,35,0,5,10,35,85,70,40,25,5,105,105,45,20,0,5,242393761.949707,117556.984722387
13,01017,Campezo/Kanpezu,01,16,895,530,225,140,180,185,65,25,15,55,0,0,25,85,155,85,55,80,15,25,0,25,35,125,190,85,40,5,20,175,165,115,70,5,0,157734528.150513,71370.0562094473
14,01018,Zigoitia,01,16,870,675,175,25,225,295,75,5,5,70,0,0,20,20,55,40,85,185,85,175,0,5,45,60,195,185,75,55,45,130,245,120,155,15,5,190689591.034546,66723.0457553177
15,01019,Kripan,01,16,115,80,30,10,20,15,30,0,5,5,0,0,5,5,15,20,15,10,5,10,0,0,5,20,15,20,10,5,5,20,20,15,15,5,0,23011611.2879639,22267.6970472027
16,01020,,01,16,335,160,150,25,30,65,55,5,0,5,0,0,0,0,40,30,20,10,10,45,0,0,5,20,55,20,10,15,30,45,50,45,15,0,0,193738039.127441,67625.2416577806
17,01021,Elburgo/Burgelu,01,16,250,220,25,0,30,140,25,10,5,15,0,0,5,0,0,30,10,60,50,65,0,0,0,20,60,50,50,20,20,30,70,60,50,5,5,58413461.4197998,82503.2328131241
18,01022,Elciego,01,16,695,440,200,55,165,185,30,25,5,30,0,15,25,65,145,65,50,25,25,25,5,15,25,70,230,65,15,15,5,115,145,90,75,15,0,29992060.4100342,29558.8090946258
19,01023,Elvillar/Bilar,01,16,270,140,80,45,55,40,10,0,0,35,0,0,10,15,20,25,20,20,10,15,0,0,5,45,40,25,10,5,10,30,40,30,30,5,0,32204126.9266357,30286.9684281893
20,01027,Iruraiz-Gauna,01,16,250,180,60,15,50,65,35,10,0,20,0,0,5,0,20,20,25,50,15,50,0,5,20,15,35,30,30,35,20,20,65,30,45,10,10,87194894.6077881,114753.554339001
21,01028,Labastida/Bastida,01,16,1565,575,940,50,170,275,50,30,15,30,0,5,25,65,175,80,55,80,60,35,0,20,50,105,215,120,40,15,10,160,145,110,105,50,5,70850387.3392334,48359.731260737
